Category,precision,recall,f1-score,support
Unknown-226,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,475.00 ± 689.81
Unknown-227,12.78 ± 18.80,16.89 ± 23.18,14.09 ± 19.69,880.00 ± 949.74
Unknown-228,33.57 ± 9.97,32.66 ± 7.96,32.03 ± 6.45,2160.00 ± 680.44
Unknown-229,32.52 ± 11.48,37.68 ± 13.35,34.49 ± 11.69,1760.00 ± 1105.89
Unknown-230,42.18 ± 24.80,39.91 ± 23.79,40.64 ± 23.74,5860.00 ± 2790.70
Unknown-231,46.13 ± 12.65,42.14 ± 12.53,43.73 ± 12.15,2720.00 ± 576.19
Unknown-232,15.07 ± 5.92,15.55 ± 5.07,14.59 ± 4.12,1320.00 ± 370.14
Unknown-233,41.76 ± 16.55,38.25 ± 15.38,39.66 ± 15.61,3360.00 ± 1883.61
Unknown-234,60.10 ± 2.59,59.00 ± 5.25,59.49 ± 3.75,10820.00 ± 3307.11
Unknown-235,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 70.71
Unknown-236,50.00 ± 70.71,16.67 ± 23.57,25.00 ± 35.36,200.00 ± 141.42
Unknown-237,5.71 ± 12.78,2.67 ± 5.96,3.64 ± 8.13,520.00 ± 567.45
Unknown-238,37.24 ± 5.56,40.45 ± 11.44,38.33 ± 6.77,3300.00 ± 1550.81
Unknown-239,9.33 ± 13.00,12.00 ± 16.60,10.33 ± 14.16,720.00 ± 491.93
Unknown-240,21.19 ± 14.46,18.82 ± 11.96,19.74 ± 13.20,1500.00 ± 308.22
Unknown-241,18.77 ± 13.62,24.88 ± 14.69,20.67 ± 12.88,740.00 ± 433.59
Unknown-242,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,600.00 ± 1067.71
Unknown-243,24.55 ± 16.49,16.95 ± 11.04,18.83 ± 11.63,840.00 ± 594.14
Unknown-244,40.39 ± 34.94,48.57 ± 30.78,41.80 ± 33.57,400.00 ± 187.08
Unknown-246,37.36 ± 16.97,41.44 ± 13.69,38.35 ± 13.95,2080.00 ± 1035.37
Unknown-247,1.00 ± 2.24,1.33 ± 2.98,1.14 ± 2.56,640.00 ± 572.71
Unknown-248,15.25 ± 11.47,13.32 ± 12.04,13.93 ± 11.47,1920.00 ± 742.97
Unknown-249,18.30 ± 14.24,23.33 ± 13.69,19.30 ± 11.52,440.00 ± 270.19
Unknown-250,9.36 ± 8.98,11.86 ± 11.47,10.30 ± 9.72,660.00 ± 415.93
Unknown-251,28.68 ± 26.32,26.48 ± 27.55,26.45 ± 24.66,1020.00 ± 1418.45
Unknown-252,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 81.65
Unknown-253,37.46 ± 7.79,39.43 ± 10.62,38.09 ± 8.29,4640.00 ± 870.63
Unknown-254,25.00 ± 28.87,33.33 ± 47.14,26.67 ± 32.66,375.00 ± 359.40
Unknown-255,28.44 ± 8.02,35.18 ± 11.79,31.20 ± 9.24,3660.00 ± 194.94
Unknown-256,44.83 ± 10.68,38.76 ± 9.89,39.94 ± 6.28,640.00 ± 378.15
Unknown-257,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,540.00 ± 439.32
Unknown-258,24.35 ± 6.43,24.12 ± 4.05,23.72 ± 3.83,3680.00 ± 1595.93
Unknown-259,32.83 ± 21.44,41.67 ± 27.64,36.57 ± 24.00,560.00 ± 219.09
Unknown-260,27.81 ± 35.32,31.64 ± 39.04,28.79 ± 36.32,580.00 ± 544.98
Unknown-261,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 173.21
Unknown-262,37.84 ± 21.88,41.24 ± 26.39,38.96 ± 23.19,3260.00 ± 2020.64
Unknown-263,52.97 ± 47.21,56.26 ± 49.88,54.56 ± 48.51,3333.33 ± 3027.10
Unknown-264,28.92 ± 14.75,29.38 ± 12.89,27.95 ± 11.71,2660.00 ± 1273.97
Unknown-265,29.55 ± 23.95,22.18 ± 16.97,25.26 ± 19.86,2400.00 ± 1133.58
Unknown-266,60.05 ± 9.29,47.71 ± 7.49,53.08 ± 7.98,8960.00 ± 882.04
Unknown-267,47.24 ± 27.20,33.26 ± 19.71,39.01 ± 22.82,16760.00 ± 2020.64
Unknown-268,18.17 ± 15.77,19.83 ± 15.97,18.42 ± 15.21,680.00 ± 465.83
Unknown-269,14.24 ± 12.82,16.23 ± 15.04,15.15 ± 13.84,2600.00 ± 644.20
Unknown-270,4.00 ± 8.94,10.00 ± 22.36,5.71 ± 12.78,220.00 ± 130.38
Unknown-271,55.59 ± 7.41,54.40 ± 5.65,54.90 ± 6.17,7120.00 ± 1314.15
Unknown-272,15.88 ± 10.39,18.43 ± 7.87,16.88 ± 9.21,3660.00 ± 1016.37
