Category,precision,recall,f1-score,support
Unknown-189,21.52 ± 19.99,34.00 ± 38.76,25.74 ± 25.77,440.00 ± 207.36
Unknown-190,27.06 ± 11.13,21.39 ± 5.22,23.60 ± 7.14,1320.00 ± 843.80
Unknown-191,24.74 ± 3.28,31.24 ± 6.83,27.28 ± 3.68,3560.00 ± 684.11
Unknown-193,21.77 ± 9.02,22.57 ± 12.31,21.83 ± 10.35,3100.00 ± 1469.69
Unknown-195,50.40 ± 8.83,57.99 ± 14.27,53.54 ± 10.57,5200.00 ± 2045.73
Unknown-196,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 363.32
Unknown-197,32.03 ± 5.64,48.43 ± 3.52,38.25 ± 4.23,2740.00 ± 1633.40
Unknown-198,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 378.59
Unknown-199,24.07 ± 21.57,32.75 ± 24.04,26.16 ± 21.97,1900.00 ± 830.66
Unknown-200,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 100.00
Unknown-201,25.88 ± 43.35,13.33 ± 19.18,14.90 ± 20.49,800.00 ± 380.79
Unknown-202,8.81 ± 9.71,13.15 ± 16.55,10.06 ± 11.18,580.00 ± 311.45
Unknown-203,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,550.00 ± 387.30
Unknown-204,39.11 ± 30.04,53.53 ± 32.76,43.05 ± 29.00,680.00 ± 192.35
Unknown-205,12.50 ± 25.00,12.50 ± 25.00,12.50 ± 25.00,100.00 ± 81.65
Unknown-206,31.76 ± 21.25,38.30 ± 22.84,34.41 ± 21.63,2620.00 ± 2777.05
Unknown-207,1.54 ± 3.44,4.00 ± 8.94,2.22 ± 4.97,420.00 ± 277.49
Unknown-208,20.20 ± 16.39,16.55 ± 12.15,17.58 ± 13.21,1080.00 ± 465.83
Unknown-209,15.07 ± 19.37,17.62 ± 28.05,15.59 ± 22.37,900.00 ± 458.26
Unknown-210,18.06 ± 19.22,27.29 ± 30.02,21.72 ± 23.42,640.00 ± 336.15
Unknown-211,24.85 ± 6.17,24.81 ± 8.06,24.77 ± 7.07,5340.00 ± 1558.20
Unknown-212,23.28 ± 11.86,21.97 ± 16.72,22.27 ± 13.95,4560.00 ± 1215.73
Unknown-213,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 182.57
Unknown-214,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-215,28.10 ± 10.92,50.17 ± 22.69,34.97 ± 13.03,620.00 ± 216.79
Unknown-216,6.18 ± 10.83,9.05 ± 17.45,7.26 ± 13.36,960.00 ± 669.33
Unknown-217,45.00 ± 8.11,42.49 ± 10.68,43.65 ± 9.44,14360.00 ± 4581.27
Unknown-218,44.90 ± 17.62,61.41 ± 11.85,51.10 ± 14.68,1500.00 ± 758.29
Unknown-219,45.54 ± 11.71,51.39 ± 7.79,47.69 ± 8.00,3800.00 ± 1272.79
Unknown-220,23.31 ± 9.54,33.45 ± 9.64,26.79 ± 9.27,2300.00 ± 860.23
Unknown-221,5.26 ± 10.53,7.69 ± 15.38,6.25 ± 12.50,650.00 ± 500.00
Unknown-222,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-224,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,375.00 ± 618.47
Unknown-225,28.71 ± 2.47,39.76 ± 12.76,32.67 ± 4.37,2460.00 ± 820.37
Unknown-226,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,475.00 ± 689.81
Unknown-227,12.44 ± 18.16,16.89 ± 23.18,13.93 ± 19.42,880.00 ± 949.74
Unknown-228,30.00 ± 12.47,30.16 ± 13.47,28.92 ± 12.01,2160.00 ± 680.44
Unknown-229,33.02 ± 11.80,37.68 ± 13.35,34.73 ± 11.78,1760.00 ± 1105.89
Unknown-230,54.12 ± 10.41,49.56 ± 10.51,51.54 ± 10.16,5860.00 ± 2790.70
Unknown-231,40.87 ± 8.92,42.85 ± 11.90,41.04 ± 7.93,2720.00 ± 576.19
Unknown-232,14.46 ± 6.00,15.55 ± 5.07,14.50 ± 4.30,1320.00 ± 370.14
Unknown-233,37.96 ± 21.22,38.25 ± 15.38,37.21 ± 18.48,3360.00 ± 1883.61
Unknown-234,60.14 ± 2.66,58.78 ± 5.63,59.36 ± 3.74,10820.00 ± 3307.11
Unknown-235,10.00 ± 22.36,20.00 ± 44.72,13.33 ± 29.81,100.00 ± 70.71
Unknown-236,50.00 ± 70.71,16.67 ± 23.57,25.00 ± 35.36,200.00 ± 141.42
Unknown-237,5.71 ± 12.78,2.67 ± 5.96,3.64 ± 8.13,520.00 ± 567.45
Unknown-238,35.44 ± 8.49,46.52 ± 8.64,39.43 ± 6.74,3300.00 ± 1550.81
Unknown-239,7.33 ± 10.11,12.38 ± 17.04,9.21 ± 12.69,720.00 ± 491.93
Unknown-240,20.27 ± 14.31,18.82 ± 11.96,19.35 ± 13.15,1500.00 ± 308.22
Unknown-241,18.17 ± 12.67,23.45 ± 14.59,19.48 ± 11.80,740.00 ± 433.59
Unknown-242,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,600.00 ± 1067.71
Unknown-243,24.55 ± 16.49,16.95 ± 11.04,18.83 ± 11.63,840.00 ± 594.14
Unknown-244,39.72 ± 35.46,48.57 ± 30.78,41.35 ± 33.90,400.00 ± 187.08
Unknown-246,37.36 ± 16.97,41.44 ± 13.69,38.35 ± 13.95,2080.00 ± 1035.37
Unknown-247,1.00 ± 2.24,1.33 ± 2.98,1.14 ± 2.56,640.00 ± 572.71
Unknown-248,16.74 ± 7.02,14.90 ± 7.70,15.46 ± 6.99,1920.00 ± 742.97
Unknown-249,17.83 ± 14.35,23.33 ± 13.69,18.94 ± 11.52,440.00 ± 270.19
Unknown-250,27.41 ± 40.73,23.86 ± 9.79,21.23 ± 20.47,660.00 ± 415.93
Unknown-251,26.01 ± 24.16,24.76 ± 24.61,24.81 ± 23.16,1020.00 ± 1418.45
Unknown-252,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 81.65
Unknown-253,38.06 ± 8.68,38.73 ± 9.59,38.08 ± 8.27,4640.00 ± 870.63
Unknown-254,5.00 ± 10.00,25.00 ± 50.00,8.33 ± 16.67,375.00 ± 359.40
Unknown-255,28.08 ± 8.43,35.18 ± 11.79,30.92 ± 9.44,3660.00 ± 194.94
Unknown-256,40.20 ± 12.15,38.76 ± 9.89,37.18 ± 5.77,640.00 ± 378.15
Unknown-257,2.00 ± 4.47,2.86 ± 6.39,2.35 ± 5.26,540.00 ± 439.32
Unknown-258,24.49 ± 6.46,23.75 ± 4.72,23.51 ± 4.02,3680.00 ± 1595.93
Unknown-259,28.67 ± 21.81,41.67 ± 27.64,33.83 ± 24.25,560.00 ± 219.09
Unknown-260,27.81 ± 35.32,31.64 ± 39.04,28.79 ± 36.32,580.00 ± 544.98
Unknown-261,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 173.21
Unknown-262,40.71 ± 11.99,46.51 ± 17.10,42.34 ± 12.06,3260.00 ± 2020.64
Unknown-263,52.97 ± 47.21,56.26 ± 49.88,54.56 ± 48.51,3333.33 ± 3027.10
Unknown-264,25.52 ± 11.63,30.72 ± 12.44,27.64 ± 11.82,2660.00 ± 1273.97
Unknown-265,23.47 ± 20.22,22.18 ± 16.97,22.55 ± 18.23,2400.00 ± 1133.58
Unknown-266,59.91 ± 9.50,47.71 ± 7.49,53.03 ± 8.07,8960.00 ± 882.04
Unknown-267,60.30 ± 7.17,42.07 ± 6.74,49.51 ± 6.93,16760.00 ± 2020.64
Unknown-268,18.17 ± 15.77,19.83 ± 15.97,18.42 ± 15.21,680.00 ± 465.83
Unknown-269,15.18 ± 11.49,18.90 ± 12.39,16.79 ± 11.96,2600.00 ± 644.20
Unknown-270,2.50 ± 5.59,10.00 ± 22.36,4.00 ± 8.94,220.00 ± 130.38
Unknown-271,53.14 ± 7.03,53.32 ± 3.65,53.07 ± 4.66,7120.00 ± 1314.15
Unknown-272,15.94 ± 10.34,18.43 ± 7.87,16.93 ± 9.18,3660.00 ± 1016.37
Unknown-273,46.75 ± 8.42,46.59 ± 12.26,46.50 ± 10.04,4440.00 ± 1439.79
